filerange 60376 60806
rangestart 60376 60806

// Subtitles
60376	这里是舰队情报官。我们的任务是分析所有感应器数据并以之制定任务目标。在进行超空间推进器试验之前，必须先进行几项测试。
60377	建造我们的首艘研究船来测试建造系统。
60378	采集附近放置好的小行星上的资源来测试资源处理系统。
60379	准备开始战斗测试。我们首先要监测阵形的表现情况。
60380	我们在这里提供了靶机。请为你的战斗机分配一个阵形并摧毁靶机。
60381	靶机已摧毁。同一位置已放置新的靶机。您必须使用阵形来完成这次测试，请重试。
60382	阵形测试完成。飞行分析显示战斗表现提高了22%。 
60383	下一项测试将检测战术的效果。准备开始战术测试。运用攻击性或被动战术来摧毁这里的靶机。
60384	靶机已摧毁。在同一位置放置新的靶机。您必须使用战术来完成这次测试，请重试。
60385	战术测试完成。
60386	下一步是测试救援艇的性能。建造一艘救援艇并捕获这里的靶机。
60387	靶机被毁。同一位置已放置新的靶机。您必须成功捕获靶机以完成这次测试，请重试。
60388	已做好拦截机的建造准备。
60389	已提供装甲更厚重的高级靶机。使用拦截机，开始模拟战斗练习。
60390	靶机已摧毁。在同一位置放置新的靶机。完成这次测试要求使用拦截机。重新开始。
60391	超空间模块正在充电。进度：35%并逐步上升。母舰将在10分钟内做好超空间推进器试验的准备。
60392	准备进行超空间推进器测试。两分钟后关闭内部压力门。中止系统随时待命。
60393	超空间引擎已完全充电。我已准备启动量子波发生器。祝大家好运。
60394	所有部门准备就绪。随时可以启动超空间推进器。
60395	战斗测试
60734	我们的首艘研究船已经建造完毕，研究部门开始运作。
60800	我们必须对母舰的资源处理能力进行测试。从卡拉克轨道上残余的小行星上采集可用的坚硬矿石。
60801	在母舰上进行推进器和武器的研究风险过高。建造一艘研究用的船只以便安全地进行各种试验。
60802	虽然不太可能，但我们必须对可能遭遇的敌对外星飞船的做好准备。我们应该制定计划研制一款适应零重力条件的战机。
60803	我们需要测试舰队指挥官的指令及控制界面。为打击宇航器分配一个阵型并派它们摧毁指定的靶机。
60804	我们必须训练我们的飞行员去适应多种战术。为他们指定一个新的战术并摧毁残余的靶机。
60805	该检验一下救援艇的资源回收能力了。命其捕获靶机并返回母舰。
60806	我们必须测试我们新型战机——拦截机的作战效率。使用拦截机摧毁高级靶机。
60396	阵型训练靶
60397	战术训练靶
60398	拦截机训练靶
60399	救援艇训练靶

rangeend
